	mouseSampleTag5	mouseSampleTag6	mouseSampleTag7	mouseSampleTag8	mouseSampleTag9	TagIDs
Aoki_558936	1.75749060057691	-0.547011508564703	-0.116456074882803	-0.547011508564703	-0.547011508564703	mouseSampleTag5
Aoki_6490	1.75804039371396	-0.546209624976786	-0.119411518783604	-0.546209624976786	-0.546209624976786	mouseSampleTag5
Aoki_47052	1.75806572687017	-0.546172469601634	-0.119548318065265	-0.546172469601634	-0.546172469601634	mouseSampleTag5
Aoki_82167	1.75907211559573	-0.544681332459131	-0.125028118218332	-0.544681332459131	-0.544681332459131	mouseSampleTag5
Aoki_705587	1.75879933403189	-0.545088450959938	-0.123533981152074	-0.545088450959938	-0.545088450959938	mouseSampleTag5
Aoki_290871	1.75965090084606	-0.519801390829501	-0.129233543573853	-0.555307983221351	-0.555307983221351	mouseSampleTag5
Aoki_764252	1.76185049552267	-0.517257653779908	-0.141624169900645	-0.551484335921058	-0.551484335921058	mouseSampleTag5
Aoki_283402	1.76064788207169	-0.51740777533497	-0.13489842192991	-0.554170842403406	-0.554170842403406	mouseSampleTag5
Aoki_866650	1.76093376075634	-0.515669560809301	-0.136636532793169	-0.554313833576937	-0.554313833576937	mouseSampleTag5
Aoki_567295	1.76325701376098	-0.538134977200401	-0.148852082159772	-0.538134977200401	-0.538134977200401	mouseSampleTag5
Aoki_647436	1.76310855698197	-0.528109724935517	-0.14817565385114	-0.543411589097656	-0.543411589097656	mouseSampleTag5
Aoki_652793	1.76410299588068	-0.528969385071536	-0.154011554055934	-0.540561028376603	-0.540561028376603	mouseSampleTag5
Aoki_65359	1.76082043037293	-0.542017543382694	-0.134767800224851	-0.542017543382694	-0.542017543382694	mouseSampleTag5
Aoki_737707	1.76067944772694	-0.542235956914321	-0.133971576983981	-0.542235956914321	-0.542235956914321	mouseSampleTag5
Aoki_256261	1.75970423213806	-0.536066547420771	-0.128621548374553	-0.54750806817137	-0.54750806817137	mouseSampleTag5
Aoki_304360	1.75937615531153	-0.534721974891872	-0.126861821164174	-0.548896179627743	-0.548896179627743	mouseSampleTag5
Aoki_242567	1.76095811820422	-0.533959596576533	-0.135659835174239	-0.545669343226725	-0.545669343226725	mouseSampleTag5
Aoki_794482	1.76146290042526	-0.531207893858681	-0.138598358113481	-0.545828324226546	-0.545828324226546	mouseSampleTag5
Aoki_276866	1.76077085369111	-0.552280274769725	-0.152722546894683	-0.444142587086626	-0.611625444940078	mouseSampleTag5
Aoki_649021	1.75704622335511	-0.596099085021732	-0.136489676688001	-0.42835837662365	-0.596099085021732	mouseSampleTag5
Aoki_50194	1.76954916562189	-0.526876405096135	-0.209366786942717	-0.434793548716414	-0.598512424866622	mouseSampleTag5
Aoki_52885	1.76867586822556	-0.569440367287493	-0.203228291331609	-0.426566842318964	-0.569440367287493	mouseSampleTag5
Aoki_58281	1.77181989924479	-0.562222036937803	-0.226427238805062	-0.420948586564119	-0.562222036937803	mouseSampleTag5
Aoki_503673	1.76350276530761	-0.51118753756084	-0.151630431382579	-0.550342398182095	-0.550342398182095	mouseSampleTag5
Aoki_348084	1.76495981409362	-0.507658882310463	-0.160560690387642	-0.548370120697758	-0.548370120697758	mouseSampleTag5
Aoki_505314	1.7644314677588	-0.511695627827184	-0.157023455794892	-0.547856192068363	-0.547856192068363	mouseSampleTag5
Aoki_331046	1.76782608299506	-0.491490133732707	-0.180200898295271	-0.548067525483544	-0.548067525483544	mouseSampleTag5
Aoki_854272	1.76573722023242	-0.489074534012098	-0.167757196857817	-0.554452744681252	-0.554452744681252	mouseSampleTag5
Aoki_861083	1.76493317262748	-0.491557605365034	-0.162559171524446	-0.555408197869	-0.555408197869	mouseSampleTag5
Aoki_258342	1.76463809100839	-0.501230649806705	-0.159405516635658	-0.552000962283012	-0.552000962283012	mouseSampleTag5
Aoki_550685	1.76502923728929	-0.498840673190851	-0.162038991264771	-0.552074786416833	-0.552074786416833	mouseSampleTag5
Aoki_405980	1.76606282422481	-0.501410481590317	-0.167917913311069	-0.548367214661715	-0.548367214661715	mouseSampleTag5
Aoki_591013	1.76582147729606	-0.496395216487028	-0.167123048375746	-0.551151606216641	-0.551151606216641	mouseSampleTag5
Aoki_197783	1.77403787250955	-0.496123613491886	-0.222180618597842	-0.527866820209909	-0.527866820209909	mouseSampleTag5
Aoki_673251	1.77411416701933	-0.496007611403413	-0.22276790734304	-0.527669324136437	-0.527669324136437	mouseSampleTag5
Aoki_300179	1.77251222597227	-0.511077505560551	-0.209774117725249	-0.525830301343234	-0.525830301343234	mouseSampleTag5
Aoki_365690	1.77256494166012	-0.500938153046919	-0.210860837331541	-0.53038297564083	-0.53038297564083	mouseSampleTag5
Aoki_136541	1.77012779005484	-0.509028845716372	-0.193189841085027	-0.533954551626719	-0.533954551626719	mouseSampleTag5
Aoki_784200	1.76935156021271	-0.504058701482552	-0.188433987623055	-0.538429435553553	-0.538429435553553	mouseSampleTag5
Aoki_386682	1.77247040211916	-0.484809918841243	-0.212243701325689	-0.537708390976116	-0.537708390976116	mouseSampleTag5
Aoki_712537	1.7706531041033	-0.476560063119911	-0.201215856385169	-0.546438592299111	-0.546438592299111	mouseSampleTag5
Aoki_525539	1.76920212109154	-0.527645330156696	-0.186266130621452	-0.527645330156696	-0.527645330156696	mouseSampleTag5
Aoki_334289	1.77020859134104	-0.525694560261157	-0.193124910557566	-0.525694560261157	-0.525694560261157	mouseSampleTag5
Aoki_423524	1.77076385214212	-0.524592440908583	-0.196986529416377	-0.524592440908583	-0.524592440908583	mouseSampleTag5
Aoki_866505	1.77048861792923	-0.525141125648944	-0.195065240982398	-0.525141125648944	-0.525141125648944	mouseSampleTag5
Aoki_93949	1.7672842888147	-0.531209178765214	-0.173656752519061	-0.531209178765214	-0.531209178765214	mouseSampleTag5
Aoki_713079	1.76526657552488	-0.534765558922325	-0.160969898757908	-0.534765558922325	-0.534765558922325	mouseSampleTag5
Aoki_72101	1.76685466733016	-0.516489840439677	-0.171396847977732	-0.539483989456374	-0.539483989456374	mouseSampleTag5
Aoki_110727	1.76732439668748	-0.512265800327511	-0.174644205247411	-0.540207195556278	-0.540207195556278	mouseSampleTag5
Aoki_679944	1.76813259607949	-0.520438089261696	-0.179343091285406	-0.534175707766195	-0.534175707766195	mouseSampleTag5
Aoki_246106	1.76697196891002	-0.523000598988415	-0.171814451582227	-0.53607845916969	-0.53607845916969	mouseSampleTag5
Aoki_634029	1.76650010424644	-0.52102944974248	-0.168932086298156	-0.538269284102904	-0.538269284102904	mouseSampleTag5
Aoki_248339	1.77802606356237	-0.435307520319064	-0.268377762392121	-0.537170390425593	-0.537170390425593	mouseSampleTag5
Aoki_879414	1.7784753773942	-0.434162958993308	-0.272726646387175	-0.535792886006861	-0.535792886006861	mouseSampleTag5
