"clones","cells","Pielou","cluster"
336,3475,0.317952019316578,"X0"
193,1601,0.345341581000777,"X1"
189,1557,0.270738432728151,"X2"
224,1145,0.257866926880709,"X3"
352,1069,0.131214859277653,"X4"
235,833,0.208128999482719,"X5"
428,631,0.0399204678239066,"X6"
338,338,1.11022302462516e-16,"X7"
